season,player,pts,trb,ast,stl,blk,fg3,tov,fta,ft_pct,fga,fg_pct,no_play,seas_id,player_id,pos,age,lg,tm,experience,DRAFT_NUMBER,HEIGHT,WEIGHT
2001,Kenny Thomas,22.0,17.375,3.2083333333333335,1.6666666666666667,1.7916666666666667,1.0416666666666667,4.833333333333333,5.04,0.7222222222222222,18.6,0.443010752688172,0.04,17499,3200,PF,23.0,NBA,HOU,2,22.0,79.0,245.0
2001,Kenny Anderson,22.363636363636363,6.636363636363637,12.181818181818182,4.0,0.18181818181818182,1.0,4.7272727272727275,2.84,0.8309859154929577,9.08,0.3876651982378855,0.56,17498,2661,PG,30.0,NBA,BOS,10,2.0,73.0,168.0
2001,Kornel David,4.769230769230769,4.0,0.5384615384615384,0.46153846153846156,0.3076923076923077,0.0,0.8461538461538461,0.52,0.923076923076923,2.04,0.49019607843137253,0.48,17515,3131,SF,29.0,NBA,TOT,3,,81.0,230.0
2001,Kendall Gill,23.583333333333332,10.916666666666666,7.25,3.9166666666666665,0.5833333333333334,0.3333333333333333,4.0,3.6,0.7222222222222222,12.92,0.33126934984520123,0.52,17497,2598,SG,32.0,NBA,NJN,11,5.0,77.0,216.0
2001,Keith Van Horn,51.9375,21.6875,5.125,2.5,1.25,4.0625,6.4375,7.44,0.8064516129032258,28.32,0.4350282485875706,0.36,17495,3074,SF,25.0,NBA,NJN,4,2.0,82.0,245.0
2001,Karl Malone,75.12,26.76,14.44,3.72,2.48,0.08,9.76,27.04,0.7928994082840237,53.8,0.4981412639405205,0.0,17494,2252,PF,37.0,NBA,UTA,16,13.0,81.0,259.0
2001,Juwan Howard,58.48,22.88,8.96,3.0,1.48,0.0,9.68,15.32,0.7728459530026109,48.72,0.47865353037766833,0.0,17491,2874,PF,27.0,NBA,TOT,7,5.0,81.0,250.0
2001,Jumaine Jones,13.217391304347826,8.217391304347826,1.391304347826087,1.3043478260869565,0.6521739130434783,0.8695652173913043,1.6956521739130435,2.12,0.7547169811320755,11.0,0.4436363636363636,0.08,17490,3199,SF,21.0,NBA,PHI,2,27.0,80.0,230.0
2001,Jud Buechler,9.095238095238095,4.476190476190476,1.8571428571428572,1.0,0.47619047619047616,1.5238095238095237,1.1904761904761905,0.48,0.75,6.52,0.4601226993865031,0.16,17489,2596,SF,32.0,NBA,DET,11,38.0,78.0,228.0
2001,Jonathan Bender,8.391304347826088,3.217391304347826,1.391304347826087,0.30434782608695654,1.2173913043478262,0.4782608695652174,1.826086956521739,2.72,0.7352941176470588,7.44,0.3548387096774194,0.08,17488,3198,SF,20.0,NBA,IND,2,5.0,84.0,230.0
2001,Jon Barry,15.047619047619047,4.476190476190476,6.190476190476191,1.3333333333333333,0.2857142857142857,2.1904761904761907,2.5238095238095237,2.92,0.8767123287671234,10.2,0.40392156862745104,0.16,17487,2726,SG,31.0,NBA,SAC,9,21.0,77.0,210.0
2001,Johnny Newman,35.8,7.04,4.6,2.52,0.4,2.36,4.24,11.88,0.8552188552188552,27.8,0.41870503597122305,0.0,17486,2315,SG,37.0,NBA,NJN,15,29.0,79.0,210.0
2001,John Wallace,13.941176470588236,4.882352941176471,1.3529411764705883,0.7647058823529411,0.9411764705882353,0.11764705882352941,2.1176470588235294,1.8,0.7777777777777777,9.44,0.42372881355932207,0.32,17485,2997,SF,26.0,NBA,DET,5,18.0,81.0,225.0
2001,John Stockton,37.76,9.08,28.52,5.28,0.84,2.44,8.12,11.12,0.8165467625899281,26.04,0.5038402457757296,0.0,17484,2183,PG,38.0,NBA,UTA,17,16.0,73.0,175.0
2001,John Starks,29.125,6.416666666666667,7.416666666666667,3.0416666666666665,0.4166666666666667,2.6666666666666665,3.9166666666666665,4.44,0.8018018018018017,27.44,0.3979591836734694,0.04,17483,2438,SG,35.0,NBA,UTA,12,,77.0,190.0
2001,Kelvin Cato,11.785714285714286,10.071428571428571,0.7857142857142857,0.9285714285714286,2.2142857142857144,0.0,1.7857142857142858,2.28,0.6491228070175439,4.44,0.5765765765765766,0.44,17496,3075,C,26.0,NBA,HOU,4,15.0,83.0,275.0
2001,Randy Brown,12.38888888888889,5.5,8.555555555555555,3.4444444444444446,0.5555555555555556,0.0,3.111111111111111,1.6,0.575,9.48,0.42194092827004215,0.28,17618,2678,PG,32.0,NBA,BOS,10,31.0,74.0,190.0
2001,Kurt Thomas,33.333333333333336,21.458333333333332,2.625,2.5416666666666665,2.875,0.041666666666666664,4.125,8.4,0.8142857142857143,24.56,0.511400651465798,0.04,17518,2937,PF,28.0,NBA,NYK,6,10.0,81.0,240.0
2001,Lamar Odom,54.333333333333336,24.666666666666668,16.333333333333332,3.0833333333333335,5.083333333333333,3.3333333333333335,11.0,15.44,0.6787564766839379,41.84,0.4598470363288718,0.04,17519,3201,PF,21.0,NBA,LAC,2,4.0,82.0,230.0
2001,Mark Bryant,1.7272727272727273,1.9090909090909092,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,0.45454545454545453,0.2,0.6,0.8,0.39999999999999997,0.56,17548,2444,PF,35.0,NBA,DAL,13,21.0,81.0,250.0
2001,Mark Blount,11.80952380952381,11.0,1.5238095238095237,1.8571428571428572,3.619047619047619,0.0,2.9523809523809526,2.64,0.696969696969697,8.0,0.505,0.16,17547,3272,C,25.0,NBA,BOS,1,54.0,84.0,250.0
2001,Mario Elie,13.590909090909092,7.045454545454546,5.954545454545454,2.6363636363636362,0.5454545454545454,1.6363636363636365,2.727272727272727,2.76,0.7971014492753624,9.84,0.42276422764227645,0.12,17546,2610,SG,37.0,NBA,PHO,11,160.0,77.0,225.0
2001,Marcus Fizer,27.32,12.52,3.04,1.2,0.76,0.4,4.96,6.44,0.7267080745341614,25.84,0.43034055727554177,0.0,17545,3271,PF,22.0,NBA,CHI,1,4.0,,
2001,Marcus Camby,34.5,32.86363636363637,2.3636363636363638,3.0,6.181818181818182,0.045454545454545456,2.8636363636363638,9.0,0.6666666666666666,23.2,0.5241379310344828,0.12,17544,3004,C,26.0,NBA,NYK,5,2.0,83.0,240.0
2001,Marc Jackson,35.166666666666664,20.055555555555557,3.2777777777777777,1.8888888888888888,1.5,0.2777777777777778,5.166666666666667,7.68,0.8020833333333334,20.32,0.46653543307086615,0.28,17543,3270,C,26.0,NBA,GSW,1,37.0,82.0,253.0
2001,Malik Rose,23.0,16.210526315789473,2.526315789473684,3.1052631578947367,2.1052631578947367,0.15789473684210525,3.8947368421052633,6.4,0.7124999999999999,14.72,0.43478260869565216,0.24,17541,3002,PF,26.0,NBA,SAS,5,44.0,79.0,255.0
2001,Mahmoud Abdul-Rauf,14.0,1.3157894736842106,4.0,0.47368421052631576,0.05263157894736842,0.21052631578947367,1.368421052631579,1.16,0.7586206896551725,9.84,0.4878048780487805,0.24,17540,2608,PG,31.0,NBA,VAN,9,3.0,73.0,162.0
2001,Lucious Harris,28.458333333333332,12.0,5.625,3.0833333333333335,0.6666666666666666,1.9166666666666667,2.6666666666666665,5.56,0.7697841726618706,24.96,0.42467948717948717,0.04,17539,2807,SG,30.0,NBA,NJN,8,28.0,77.0,205.0
2001,Luc Longley,4.083333333333333,5.5,0.5833333333333334,0.25,0.75,0.0,1.8333333333333333,0.68,0.7647058823529411,2.16,0.3333333333333333,0.52,17538,2669,C,32.0,NBA,NYK,10,7.0,,
