"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Patrick Beverley","Philadelphia 76ers","Vet",18.9,97.9,6.6,3.2,2.3,0.5,0.4,0.6,1.2,5.3,1.2,2.4,0.9,1.8,2024-02-05
"Sam Merrill","Cleveland Cavaliers","Vet",14.1,96.7,6.5,1.3,1.4,0.3,0,0.4,0.4,5.3,0.4,4.7,0.3,1.1,2024-02-05
"Ausar Thompson","Detroit Pistons","Rookie",18.4,98.6,6.5,1.3,3.2,1.5,0.6,0.7,0.8,5,1.3,1.3,2.4,2,2024-02-05
"Jerami Grant","Portland Trail Blazers","Vet",10.6,97.3,6.4,0.9,1,0.2,0.2,0.2,0.6,4.7,1.8,1.4,1.4,0.7,2024-02-05
"Naji Marshall","New Orleans Pelicans","Vet",16.6,97.6,6.3,1.6,2.2,0.7,0.1,0.5,0.8,5,1.4,1.7,1.3,1.2,2024-02-05
"Nickeil Alexander-Walker","Minnesota Timberwolves","Vet",19.1,97,6.1,2,1.4,0.3,0.3,0.7,0.7,4.8,0.6,3.2,0.7,1.5,2024-02-05
"Jordan Hawkins","New Orleans Pelicans","Rookie",13.4,97.7,6.1,0.8,1.4,0.3,0.1,0.3,0.4,5.1,0.8,3.4,0.5,0.9,2024-02-05
"Gary Harris","Orlando Magic","Vet",20.1,97.1,6,1.4,1.3,0.3,0.2,0.7,0.4,5,0.7,3.5,0.8,1.5,2024-02-05
"Amen Thompson","Houston Rockets","Rookie",14,102.5,6,1.7,2.6,1.1,0.3,0.7,1.1,4.5,1.8,0.8,2.3,1.7,2024-02-05
"Tari Eason","Houston Rockets","Sophomore",13.6,97.8,6,0.9,2.6,1.3,0.4,0.7,0.7,5.3,0.9,1.6,2.2,1.4,2024-02-05
"Jaden Hardy","Dallas Mavericks","Sophomore",12.1,100.6,6,1.3,1.3,0.2,0.1,0.3,0.6,5.3,0.7,2.8,0.9,0.9,2024-02-05
"Andre Drummond","Chicago Bulls","Vet",12,95.5,5.9,0.4,3.5,1.8,0.5,0.6,0.8,4.2,1.9,0.1,2.9,1.5,2024-02-05
"Sam Hauser","Boston Celtics","Vet",16.4,97.5,5.8,0.8,2.1,0.4,0.2,0.3,0.3,4.6,0.2,4,0.3,1,2024-02-05
"Duop Reath","Portland Trail Blazers","Rookie",12.4,97.2,5.8,0.8,1.9,1,0.3,0.3,0.5,4.4,0.9,2.4,1.5,1.8,2024-02-05
"Landry Shamet","Washington Wizards","Vet",11.8,99,5.8,1,0.8,0.2,0.1,0.3,0.5,4.8,0.9,2.5,0.9,1.1,2024-02-05
"Bryce McGowens","Charlotte Hornets","Sophomore",15.6,97.1,5.8,1.1,1.4,0.3,0.1,0.3,0.7,4.3,1.4,1.7,1.4,1.2,2024-02-05
"T.J. McConnell","Indiana Pacers","Vet",13.6,101.5,5.7,4.5,1.7,0.5,0.1,0.8,1.1,4.9,0.8,0.4,1.5,1,2024-02-05
"Kevin Love","Miami Heat","Vet",11.8,97.1,5.7,1.3,3.3,0.7,0.2,0.2,0.6,4.1,1.3,2.9,0.6,1.1,2024-02-05
"Mason Plumlee","Los Angeles Clippers","Vet",16.9,95.7,5.7,1.2,3.8,1.8,0.4,0.4,0.6,3.4,2,0.1,2.5,1.6,2024-02-05
"Cason Wallace","Oklahoma City Thunder","Rookie",17.1,98,5.7,1.2,1.4,0.5,0.3,0.6,0.4,4.6,0.3,2.8,1,1.4,2024-02-05
"Payton Pritchard","Boston Celtics","Vet",14.4,95.9,5.6,1.9,1.4,0.5,0.1,0.3,0.5,4.7,0.4,3.2,0.5,0.9,2024-02-05
"Jaden Springer","Philadelphia 76ers","Vet",15.4,98,5.6,1.4,1.4,0.8,0.3,0.8,0.9,4.6,1.1,1.3,1.6,1.8,2024-02-05
"Cedi Osman","San Antonio Spurs","Vet",14,101.5,5.6,1.3,1.7,0.3,0.1,0.4,0.4,4.1,0.7,2.6,1.1,1.2,2024-02-05
"Amir Coffey","Los Angeles Clippers","Vet",16.2,98.2,5.5,0.8,1.3,0.4,0.2,0.4,0.3,3.6,0.8,1.6,0.8,1.2,2024-02-05
"OG Anunoby","New York Knicks","Vet",12.8,97.7,5.4,0.7,1.2,0.4,0.2,0.6,0.5,4.1,0.8,1.9,1.5,0.9,2024-02-05
"Lester Quinones","Golden State Warriors","Sophomore",12.8,97.6,5.4,0.9,1.5,0.6,0.1,0.4,0.6,4.4,0.7,2.9,0.8,1.3,2024-02-05
"Julian Champagnie","San Antonio Spurs","Sophomore",15.9,100.2,5.4,1,2,0.5,0.5,0.5,0.5,4.2,0.7,3,0.8,1.1,2024-02-05
"Jonathan Isaac","Orlando Magic","Vet",13.9,96.6,5.3,0.6,2.6,1.2,0.9,0.7,0.3,4.1,1.2,1.1,1.9,1.1,2024-02-05
"Christian Wood","Los Angeles Lakers","Vet",12.1,99.8,5.3,0.8,2.8,0.6,0.5,0.2,0.7,4,1.4,1.6,1.2,1.1,2024-02-05
"Kyrie Irving","Dallas Mavericks","Vet",7.1,99.4,5.2,1.1,0.9,0.2,0.1,0.3,0.4,4.1,0.9,1.6,0.7,0.5,2024-02-05
"Danuel House Jr.","Philadelphia 76ers","Vet",18.2,99.1,5.2,1,1.7,0.4,0.2,0.4,0.5,3.7,1.1,1.7,1.4,1.5,2024-02-05
"Kenyon Martin Jr.","Philadelphia 76ers","Vet",15,99.5,5.2,1.1,1.8,0.7,0.2,0.3,0.6,3.7,1.1,0.8,2.4,1.5,2024-02-05
"Kris Dunn","Utah Jazz","Vet",17.2,100.9,5.1,4,2.1,0.6,0.3,0.9,1.1,4.2,0.4,1.6,0.9,1.9,2024-02-05
"Maxi Kleber","Dallas Mavericks","Vet",20,98.8,5.1,1.4,2.5,0.7,0.6,0.3,0.6,4.1,0.7,2.6,0.9,2,2024-02-05
"Jose Alvarado","New Orleans Pelicans","Vet",11.7,97,5,1.4,1.1,0.2,0.1,0.6,0.5,4,0.6,2.6,0.7,1.1,2024-02-05
"Kyle Anderson","Minnesota Timberwolves","Vet",16.9,97.9,5,3,2.2,0.7,0.5,0.7,0.9,4,1.1,0.5,1.1,1.3,2024-02-05
"Jae Crowder","Milwaukee Bucks","Vet",17.4,100.5,5,1.2,2.2,0.4,0.2,0.6,0.3,4.4,0.4,3.1,0.3,1.3,2024-02-05
"Toumani Camara","Portland Trail Blazers","Rookie",16.1,97.2,4.9,0.7,2.1,1.2,0.3,0.7,0.7,3.9,1,1.6,1.6,1.7,2024-02-05
"Jacob Gilyard","Memphis Grizzlies","Sophomore",16.4,97.4,4.8,3.3,1,0.1,0.1,0.7,0.8,3.8,0.2,3.1,0.3,0.9,2024-02-05
"Marvin Bagley III","Washington Wizards","Vet",8.6,100.6,4.8,0.5,1.5,1,0.2,0.2,0.5,3.3,1.3,0.2,1.9,0.8,2024-02-05
"Eugene Omoruyi","Washington Wizards","Vet",8.7,100.1,4.7,0.7,1.2,0.7,0.1,0.4,0.5,3.8,1.2,1.3,1.7,1.3,2024-02-05
"Haywood Highsmith","Miami Heat","Vet",16.5,96.5,4.7,0.8,1.8,0.7,0.3,0.6,0.4,3.8,0.4,2.3,0.8,1.5,2024-02-05
"Furkan Korkmaz","Philadelphia 76ers","Vet",13.5,99,4.7,1.1,1.3,0.1,0.1,0.4,0.5,3.6,0.8,2,0.8,0.8,2024-02-05
"Mo Bamba","Philadelphia 76ers","Vet",12,97.7,4.7,0.7,2.6,1.3,1,0.3,0.5,3.7,0.9,1.2,1.9,1.7,2024-02-05
"Christian Braun","Denver Nuggets","Sophomore",14,95.6,4.7,0.9,1.8,0.6,0.2,0.4,0.4,3.7,0.9,1.4,1.5,1.1,2024-02-05
"Jaxson Hayes","Los Angeles Lakers","Vet",12.4,99.6,4.6,0.7,1.9,0.9,0.4,0.4,0.6,2.8,1.3,0.2,1.8,1.7,2024-02-05
"Max Christie","Los Angeles Lakers","Sophomore",15.7,100.2,4.6,1,2,0.2,0.3,0.3,0.5,3.7,0.7,2,0.7,1.1,2024-02-05
"Miles McBride","New York Knicks","Vet",9.6,94,4.4,0.8,0.6,0.1,0.1,0.4,0.3,3.7,0.5,2.3,0.6,0.9,2024-02-05
"Matisse Thybulle","Portland Trail Blazers","Vet",18.3,97.7,4.3,0.9,1.3,0.4,0.5,1.1,0.3,3.7,0.2,3,0.5,1.2,2024-02-05
"Vince Williams Jr.","Memphis Grizzlies","Sophomore",11.1,98.6,4.2,1.1,1.8,0.5,0.2,0.3,0.6,3,0.9,1.9,0.9,1,2024-02-05
"Leaky Black","Charlotte Hornets","Rookie",13,96.1,4.2,0.8,1.7,0.7,0.3,0.4,0.4,3,0.7,1.3,1,1.3,2024-02-05
"Thaddeus Young","Toronto Raptors","Vet",13.1,96.8,4.2,1.5,1.8,1.2,0.2,0.7,0.6,3.1,0.5,0.2,1.7,1.5,2024-02-05
"Torrey Craig","Chicago Bulls","Vet",13.2,96.6,4.2,0.7,1.8,0.8,0.3,0.3,0.4,3.5,0.4,2.1,0.7,1.6,2024-02-05
"Jeff Green","Houston Rockets","Vet",12.7,98.4,4.2,0.6,1.2,0.4,0.3,0.2,0.3,2.8,1.2,1,0.9,1.2,2024-02-05
"Dean Wade","Cleveland Cavaliers","Vet",15.5,97.7,4.1,0.7,2.4,0.5,0.3,0.5,0.3,3.3,0.3,2.9,0.2,1.4,2024-02-05
"Doug McDermott","San Antonio Spurs","Vet",10.1,100.4,4.1,0.7,0.7,0.1,0.1,0.1,0.3,3.2,0.2,2.7,0.4,0.7,2024-02-05
"Dennis Smith Jr.","Brooklyn Nets","Vet",10.8,97.4,4,2.2,1.2,0.4,0.1,0.6,0.7,3.5,0.8,1,1.5,1.1,2024-02-05
"Dyson Daniels","New Orleans Pelicans","Sophomore",16.4,96.1,4,2,2,0.7,0.3,0.8,0.7,3.2,0.6,1.3,1,1.2,2024-02-05
"Trayce Jackson-Davis","Golden State Warriors","Rookie",9,98,4,0.5,1.6,1,0.5,0.2,0.4,2.8,1.1,0.1,1.9,1.1,2024-02-05
"Moses Moody","Golden State Warriors","Vet",8,98.2,3.9,0.5,0.9,0.4,0.1,0.2,0.3,3.1,0.7,1.6,0.7,0.6,2024-02-05
"Marcus Sasser","Detroit Pistons","Rookie",8.3,98.3,3.9,1.5,0.7,0.1,0.1,0.3,0.6,3.2,0.5,1.6,0.4,0.7,2024-02-05
"Garrison Mathews","Atlanta Hawks","Vet",12.1,100.5,3.9,0.6,1,0.2,0.1,0.3,0.3,2.9,0.4,2.5,0.2,1.3,2024-02-05
"Kevin Knox II","Detroit Pistons","Vet",10,100.3,3.9,0.5,1.2,0.3,0.1,0.2,0.4,3.1,0.4,1.6,0.8,0.9,2024-02-05
"Ish Smith","Charlotte Hornets","Vet",18.6,96.9,3.9,3.8,1.7,0.3,0.1,0.5,1.2,3.7,0.2,0.5,1.1,1.3,2024-02-05
"Steven Adams","Houston Rockets","Vet",11.2,101.3,3.8,1,2.6,1.3,0.4,0.3,0.6,3.1,1,0.9,1.5,1.1,2024-02-05
"Aaron Holiday","Houston Rockets","Vet",10.8,99.8,3.8,1.2,0.9,0.2,0.1,0.4,0.5,3.1,0.5,1.7,0.5,1,2024-02-05
"Pat Connaughton","Milwaukee Bucks","Vet",14.9,101.1,3.8,1.1,1.9,0.5,0.2,0.4,0.3,2.8,0.4,2.2,0.5,0.9,2024-02-05
"Drew Eubanks","Phoenix Suns","Vet",11.7,97,3.8,0.7,2.1,1.1,0.6,0.3,0.5,2.5,0.9,0.2,1.4,1.3,2024-02-05
"Davion Mitchell","Sacramento Kings","Vet",12,97.7,3.8,1.6,0.8,0.2,0.1,0.3,0.5,3.3,0.5,1.6,0.8,0.9,2024-02-05
"Josh Okogie","Phoenix Suns","Vet",12.6,98.3,3.7,0.8,1.2,0.9,0.3,0.6,0.3,2.6,1.4,1.1,1,1.1,2024-02-05
"Patrick Williams","Chicago Bulls","Vet",9.3,96.2,3.6,0.5,1,0.3,0.2,0.3,0.4,3,0.5,1.4,0.8,0.6,2024-02-05
"Danilo Gallinari","Detroit Pistons","Vet",7.4,99.4,3.6,0.6,1.2,0.2,0.1,0.1,0.3,2.3,1,1.2,0.4,0.6,2024-02-05
"Dwight Powell","Dallas Mavericks","Vet",13.1,99.3,3.5,1.3,1.8,1.4,0.3,0.4,0.6,2,1.5,0.2,1.6,2,2024-02-05
"Kevon Looney","Golden State Warriors","Vet",12.1,98.1,3.5,1.3,2.9,1.6,0.3,0.3,0.4,2.3,0.8,0.1,1.3,1.7,2024-02-05
"Kenrich Williams","Oklahoma City Thunder","Vet",11.3,97,3.5,0.8,1.5,0.7,0.1,0.4,0.2,2.9,0.2,1.6,0.9,1,2024-02-05
"Trendon Watford","Brooklyn Nets","Vet",7.4,97.7,3.5,0.9,1.2,0.5,0.1,0.2,0.4,2.7,0.6,0.7,1,0.9,2024-02-05
"Joe Ingles","Orlando Magic","Vet",12.9,98.1,3.5,2,1.4,0.2,0.1,0.4,0.6,2.9,0.2,2.3,0.3,1.1,2024-02-05
"Luke Kornet","Boston Celtics","Vet",10.3,96.8,3.4,0.6,1.5,1.2,0.6,0.2,0.3,2.2,0.6,0.1,1.8,1,2024-02-05
"Ochai Agbaji","Utah Jazz","Sophomore",12.4,98.5,3.4,0.6,1.1,0.4,0.3,0.3,0.3,2.9,0.3,1.6,0.6,0.9,2024-02-05
"Lonzo Ball","Chicago Bulls","Vet",8,99.5,3.3,1.1,1,0.2,0.2,0.3,0.4,3,0.4,1.6,0.7,0.6,2024-02-05
"Duncan Robinson","Miami Heat","Vet",7.3,96.2,3.3,0.7,0.6,0.1,0,0.2,0.3,2.7,0.3,1.9,0.4,0.7,2024-02-05
"Mitchell Robinson","New York Knicks","Vet",13.2,96.4,3.2,0.5,2.3,1.8,0.8,0.5,0.4,2.2,1,0.1,2,1.3,2024-02-05
