Category,Runs,Home Runs,RBI,Stolen Bases,Doubles,Triples,Hits,Total Bases,Wins,Strikeouts,Saves,Holds,Saves and Holds,Innings Pitched,Quality Starts,Losses,Batting Average,Slugging %,On Base %,ERA,WHIP,K/9,K/BB
Runs,1.0,0.5502114155053897,0.507376363242982,0.21436695032269318,0.3103649871052147,0.16001361613713644,0.6354156713480795,0.7088892028574405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28117430929287857,0.4846330796121219,0.5705894748107461,0.441359339476082,0.0,0.0,0.0,0.0
Saves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010545447046459686,0.26974118434681343,1.0,-0.22724250033003193,0.8927187384587097,0.4162854385521762,-0.17293069632212515,0.030415221988788963,0.0,0.0,0.0,-0.08302583748041584,-0.0539325768098905,0.011429130327029335,0.07267293002399224
Saves and Holds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08209513327023714,0.3110165805590558,0.8927187384587097,0.30071169837293454,1.0,0.41805763536815344,-0.13886050286530127,0.003782391016315315,0.0,0.0,0.0,-0.09782361529307554,-0.05127531487102926,0.054929803480451116,0.0701953238159817
Slugging %,0.5705894748107461,0.7155906550423144,0.5793652693888393,0.1023315056337951,0.35048571943402274,0.22300341586502845,0.5995045821297985,0.7986480550641472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07385424701870222,0.8156351603152393,1.0,0.7571218319123006,0.0,0.0,0.0,0.0
Stolen Bases,0.21436695032269318,0.04008600475895391,0.09368569746647532,1.0,0.09048587603530088,-0.0014673747415981087,0.23051015000113842,0.15814066272896832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2118219435765386,0.18913572617410762,0.1023315056337951,0.1970177174779738,0.0,0.0,0.0,0.0
Strikeouts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30687487254030826,1.0,0.26974118434681343,0.04882024146629458,0.3110165805590558,0.7295188008429163,0.4814023132314102,-0.019137077171858054,0.0,0.0,0.0,-0.18922505249127636,-0.23652730334290234,0.572036180347407,0.4004913469394809
Total Bases,0.7088892028574405,0.7594677808956803,0.7211002218444204,0.15814066272896832,0.48214237592756326,0.24598601987272128,0.87176788252363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22620777393990554,0.6586920460431771,0.7986480550641472,0.4958380719059686,0.0,0.0,0.0,0.0
Triples,0.16001361613713644,0.020260991045893243,0.14717602015719702,-0.0014673747415981087,0.05156888178404296,1.0,0.17733993394544145,0.24598601987272128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1009011793486453,0.14421307257447985,0.22300341586502845,0.09522162107447582,0.0,0.0,0.0,0.0
WHIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27279838497165426,-0.23652730334290234,-0.0539325768098905,-0.002449863782668934,-0.05127531487102926,-0.2648532940179673,-0.5778499114129193,0.4342860673449668,0.0,0.0,0.0,0.7414354663464072,1.0,-0.04075051933752853,-0.5279375635869319
Wins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30687487254030826,-0.010545447046459686,-0.15278859034635336,-0.08209513327023714,0.41969817861162745,0.4811621860019593,-0.2856543781487045,0.0,0.0,0.0,-0.3206063858167984,-0.27279838497165426,-0.04739140267063639,0.10747317423407182
